"resposta","pergunta","pais","ano","n","p"
"Concordo","Faço amigos com facilidade na escola","LTU","2015",19288.3682544865,64.4781195446986
"Concordo","Faço amigos com facilidade na escola","LTU","2018",17444.5593254633,71.3383487191783
"Concordo","Faço amigos com facilidade na escola","LTU","2022",19218.232512349,79.2461437645809
"Concordo","Faço amigos com facilidade na escola","LUX","2000",3406.6133,86.4084410566281
"Concordo","Faço amigos com facilidade na escola","LUX","2003",3569.5522,89.1338142801594
"Concordo","Faço amigos com facilidade na escola","LUX","2012",3110.9077,86.8112473544597
"Concordo","Faço amigos com facilidade na escola","LUX","2015",4202.52358717958,75.85781922623
"Concordo","Faço amigos com facilidade na escola","LUX","2018",4114.10421976387,75.1023012422241
"Concordo","Faço amigos com facilidade na escola","LVA","2000",23020.4257,80.5572198024125
"Concordo","Faço amigos com facilidade na escola","LVA","2003",29414.5151,89.1487228302211
"Concordo","Faço amigos com facilidade na escola","LVA","2012",9150.4005,87.0754055994705
"Concordo","Faço amigos com facilidade na escola","LVA","2015",11593.8500940161,75.6792193416183
"Concordo","Faço amigos com facilidade na escola","LVA","2018",11368.1167113776,71.3518288123105
"Concordo","Faço amigos com facilidade na escola","LVA","2022",12160.8006220714,72.2458576627056
"Concordo","Faço amigos com facilidade na escola","MAC","2003",5463.9169,83.5774497880643
"Concordo","Faço amigos com facilidade na escola","MAC","2012",2910.5248,81.8885830703289
"Concordo","Faço amigos com facilidade na escola","MAC","2015",3429.99012002079,76.1036155445493
"Concordo","Faço amigos com facilidade na escola","MAC","2018",2672.78575275455,70.354982202186
"Concordo","Faço amigos com facilidade na escola","MAC","2022",3321.54871694913,75.0971893943082
"Concordo","Faço amigos com facilidade na escola","MAR","2018",289944.165056826,75.0357642469961
"Concordo","Faço amigos com facilidade na escola","MAR","2022",347886.991110421,76.4609721538869
"Concordo","Faço amigos com facilidade na escola","MDA","2015",26582.4412794454,90.5985559823928
"Concordo","Faço amigos com facilidade na escola","MDA","2018",22796.8334284894,80.690990477707
"Concordo","Faço amigos com facilidade na escola","MDA","2022",23018.0114776698,79.7057661194911
"Concordo","Faço amigos com facilidade na escola","MEX","2000",816514.4777,87.9048314916206
"Concordo","Faço amigos com facilidade na escola","MEX","2003",867636.455,87.5641669742034
"Concordo","Faço amigos com facilidade na escola","MEX","2012",767727.223,89.0086721291468
"Concordo","Faço amigos com facilidade na escola","MEX","2015",1012531.45592664,72.6873512816665
"Concordo","Faço amigos com facilidade na escola","MEX","2018",1089825.14748723,73.5918633879389
"Concordo","Faço amigos com facilidade na escola","MEX","2022",966139.360151829,69.3205394387647
"Concordo","Faço amigos com facilidade na escola","MKD","2000",16124.3061,85.4937722781505
"Concordo","Faço amigos com facilidade na escola","MKD","2015",14811.4168469586,93.4655031351917
"Concordo","Faço amigos com facilidade na escola","MKD","2022",14083.7463099279,85.108590945624
"Concordo","Faço amigos com facilidade na escola","MLT","2015",3520.48380127935,81.9482540723523
"Concordo","Faço amigos com facilidade na escola","MLT","2018",2799.39749884915,71.3226217716039
"Concordo","Faço amigos com facilidade na escola","MLT","2022",2826.50316533647,71.4665944003999
"Concordo","Faço amigos com facilidade na escola","MNE","2012",4563.6851,91.9954727202306
"Concordo","Faço amigos com facilidade na escola","MNE","2015",5647.94851965453,83.3439190714454
"Concordo","Faço amigos com facilidade na escola","MNE","2018",5747.11514827989,81.0902330269721
"Concordo","Faço amigos com facilidade na escola","MNE","2022",5478.40574190091,86.4093562733505
"Concordo","Faço amigos com facilidade na escola","MNG","2022",29914.313556749,73.2698431465049
"Concordo","Faço amigos com facilidade na escola","MYS","2012",252575.8287,90.6895902834196
"Concordo","Faço amigos com facilidade na escola","MYS","2018",327863.506050808,84.3622766647928
"Concordo","Faço amigos com facilidade na escola","MYS","2022",310815.510723138,79.6051275200598
"Concordo","Faço amigos com facilidade na escola","NLD","2000",139688.3186,90.1160468152441
"Concordo","Faço amigos com facilidade na escola","NLD","2003",161852.5831,91.5717790820265
"Concordo","Faço amigos com facilidade na escola","NLD","2012",112383.0061,89.5780265255537
"Concordo","Faço amigos com facilidade na escola","NLD","2015",163351.183120544,85.1600776209297
"Concordo","Faço amigos com facilidade na escola","NLD","2018",154677.92251009,81.2894149701873
"Concordo","Faço amigos com facilidade na escola","NLD","2022",129396.851138161,82.9534063952895
"Concordo","Faço amigos com facilidade na escola","NOR","2000",42564.7174,87.7657488588887
"Concordo","Faço amigos com facilidade na escola","NOR","2003",46047.5592,90.0492421222253
"Concordo","Faço amigos com facilidade na escola","NOR","2012",32261.4994,85.5772707528606
"Concordo","Faço amigos com facilidade na escola","NOR","2015",46447.6878839412,79.968367098689
"Concordo","Faço amigos com facilidade na escola","NOR","2018",45728.4981733308,82.2957492969916
"Concordo","Faço amigos com facilidade na escola","NOR","2022",47769.7431982343,81.0071374925237
"Concordo","Faço amigos com facilidade na escola","NZL","2000",41657.513,90.3540636669704
"Concordo","Faço amigos com facilidade na escola","NZL","2003",43222.4297,90.8042413591985
"Concordo","Faço amigos com facilidade na escola","NZL","2012",29947.2085,86.8332761412596
"Concordo","Faço amigos com facilidade na escola","NZL","2015",42842.8384974758,78.9374198001222
"Concordo","Faço amigos com facilidade na escola","NZL","2018",39428.3705770608,74.393675946144
"Concordo","Faço amigos com facilidade na escola","NZL","2022",42362.1118293784,75.1338720585139
"Concordo","Faço amigos com facilidade na escola","PAN","2018",27474.53394928,71.2881862880526
"Concordo","Faço amigos com facilidade na escola","PAN","2022",28890.802752603,68.6411503222734
"Concordo","Faço amigos com facilidade na escola","PER","2000",208708.2439,81.3697238330715
"Concordo","Faço amigos com facilidade na escola","PER","2012",214969.7866,86.5451230909958
"Concordo","Faço amigos com facilidade na escola","PER","2015",327529.441201173,75.862976211177
"Concordo","Faço amigos com facilidade na escola","PER","2018",324944.635124598,76.5320280557826
"Concordo","Faço amigos com facilidade na escola","PER","2022",363745.552055609,72.883938741751
"Concordo","Faço amigos com facilidade na escola","PHL","2018",1167235.48963926,83.3391956279726
