"faixa_etaria","ano","sexo","tx_100mil","aumento"
"10 a 14 anos",2015,"todos",0.781423757638343,64.9349807183081
"10 a 14 anos",2016,"todos",0.857723264166049,81.0395046913148
"10 a 14 anos",2017,"todos",1.05788407256428,123.287412757865
"10 a 14 anos",2018,"todos",1.00493125314619,112.11067009509
"10 a 14 anos",2019,"todos",1.18196191043318,149.476501068062
"10 a 14 anos",2020,"todos",1.04053175740992,119.624862525131
"10 a 14 anos",2021,"todos",1.40330205986718,196.194729074614
"10 a 14 anos",2022,"todos",1.32563879464301,179.802356783575
"15 a 19 anos",2000,"todos",2.9009443540854,0
"15 a 19 anos",2001,"todos",3.89076540903148,34.1206494896089
"15 a 19 anos",2002,"todos",3.58767784829965,23.6727565369231
"15 a 19 anos",2003,"todos",3.69531218761134,27.3830772523171
"15 a 19 anos",2004,"todos",3.63586267233066,25.3337613046687
"15 a 19 anos",2005,"todos",3.57647292939555,23.2865058014231
"15 a 19 anos",2006,"todos",3.64059976082817,25.4970560087138
"15 a 19 anos",2008,"todos",3.66945950080836,26.4918954974319
"15 a 19 anos",2009,"todos",3.29103711045546,13.4470954543025
"15 a 19 anos",2013,"todos",3.88533319969965,33.9333929045532
"15 a 19 anos",2014,"todos",3.9196819831351,35.1174481377078
"15 a 19 anos",2015,"todos",4.21231957620098,45.2051146816646
"15 a 19 anos",2016,"todos",4.39225927797782,51.407912109455
"15 a 19 anos",2017,"todos",5.09034992103252,75.4721669812033
"15 a 19 anos",2018,"todos",5.18451186182375,78.7180734619194
"15 a 19 anos",2019,"todos",6.01752276722673,107.433236654549
"15 a 19 anos",2020,"todos",5.9615311420827,105.503119482009
"15 a 19 anos",2021,"todos",6.46693677808306,122.92522671025
"15 a 19 anos",2022,"todos",6.42055670799704,121.326434578277
"20 anos ou mais",2000,"todos",5.95871553532739,0
"20 anos ou mais",2001,"todos",6.51468785110927,9.33040539501664
"20 anos ou mais",2002,"todos",6.40281815520379,7.45299246529652
"20 anos ou mais",2003,"todos",6.36867298747254,6.87996347056076
"20 anos ou mais",2004,"todos",6.37145481275928,6.92664845275602
"20 anos ou mais",2005,"todos",6.70496568296204,12.5236746612649
"20 anos ou mais",2006,"todos",6.61560711126746,11.0240465759031
"20 anos ou mais",2008,"todos",6.92610006509758,16.2347828829025
"20 anos ou mais",2009,"todos",6.8723278826434,15.3323705738171
"20 anos ou mais",2013,"todos",7.17939076020979,20.485542859789
"20 anos ou mais",2014,"todos",7.12292627596936,19.5379479644518
"20 anos ou mais",2015,"todos",7.35804156638738,23.4836857501221
"20 anos ou mais",2016,"todos",7.3860957489723,23.9544949776913
"20 anos ou mais",2017,"todos",7.90249283856067,32.6207433751322
"20 anos ou mais",2018,"todos",7.94312246757114,33.3025955086933
"20 anos ou mais",2019,"todos",8.26263715804592,38.6647358656288
"20 anos ou mais",2020,"todos",8.37325266245184,40.5211007776659
"20 anos ou mais",2021,"todos",9.25656236214981,55.3449280683144
"20 anos ou mais",2022,"todos",9.78145113866132,64.1536851469097
