"faixa_etaria","ano","sexo","tx_100mil","aumento"
"10 a 14 anos",2020,"todos",2.79167056866076,47.5053817857919
"10 a 14 anos",2021,"todos",3.85586208192864,103.734786938379
"10 a 14 anos",2022,"todos",4.10099095091532,116.686826413418
"10 a 14 anos",2023,"todos",4.49706905676725,137.61467258429
"15 a 19 anos",2011,"todos",4.75717701187487,0
"15 a 19 anos",2012,"todos",5.00487858998687,5.20690269657169
"15 a 19 anos",2013,"todos",5.46630211429215,14.9064266611724
"15 a 19 anos",2014,"todos",5.65787429113251,18.9334405049323
"15 a 19 anos",2015,"todos",5.50168609467801,15.6502287164151
"15 a 19 anos",2016,"todos",5.41750812800977,13.8807346139651
"15 a 19 anos",2017,"todos",6.23903140378556,31.1498686765636
"15 a 19 anos",2018,"todos",7.20331162743232,51.4198779959502
